prov_ubie;cant_ubie;parr_ubie;clase;tipo;entidad;sector;dotmedic;dotcirug;dotginob;dotpedia;dotcardi;dotneumo;dotpsiqu;dottraum;dotinfec;dotoftal;doturolo;dotgast;dototrse;dotserin;dotemerg;dotcinte;dismedic;discirug;disginob;dispedia;discardi;disneumo;dispsiqu;distraum;disinfec;disoftal;disurolo;disgast;disotrse;disserin;disemerg;discinte;camas_dnor;camas_disp;falmen48;falmas48;dia_estad;dias_cdis;totegres
09;0901;090150;12;3;18;2;2;2;3;0;1;0;0;1;0;0;0;1;0;0;2;0;2;2;3;0;1;0;0;1;0;0;0;1;0;0; ; ;10;10;0;3;318;3660;171
01;0103;010350;1;5;1;1;9;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;9;6;5;5;0;0;0;0;0;0;0;0;0;0; ; ;25;25;17;12;5911;9125;2405
01;0105;010550;1;5;1;1;10;8;8;4;0;0;0;0;0;0;0;0;0;0;0;0;10;7;5;6;0;0;0;0;0;0;0;0;0;0; ; ;30;28;9;8;6172;10220;2637
01;0108;010850;1;5;1;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;3;8;3439;5475;1243
01;0109;010950;1;5;1;1;8;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;8;2;3;5;0;0;0;0;0;0;0;0;0;0; ; ;18;18;5;6;4401;6570;1346
01;0101;010107;2;1;1;1;61;65;51;70;0;0;0;0;0;0;0;0;25;0;12;7;48;58;44;55;0;0;0;0;0;0;0;0;25;0; ; ;272;230;88;337;71459;83950;16008
01;0101;010150;7;2;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0; ; ;5;5;0;0;191;1825;162
01;0102;010250;1;5;1;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;6;11;3885;5475;1403
01;0101;010150;2;1;6;1;14;70;24;16;22;5;0;15;11;7;11;11;65;0;2;0;14;70;24;16;22;5;0;15;7;7;11;11;65;0; ; ;271;267;152;442;86388;98002;19149
01;0101;010150;2;1;3;1;14;7;3;6;0;0;0;6;0;0;0;0;0;0;0;0;13;7;3;6;0;0;0;6;0;0;0;0;0;0; ; ;36;35;2;3;1903;12749;571
01;0101;010150;8;2;15;3;0;37;22;36;0;0;0;0;0;0;0;0;0;0;8;8;0;34;22;32;0;0;0;0;0;0;0;0;0;0; ; ;95;88;13;33;16351;32084;3683
01;0101;010150;1;5;11;1;0;0;0;8;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;9; ; ;17;17;2;12;4042;6222;1266
02;0201;020150;2;1;1;1;22;23;30;25;0;0;0;0;0;0;0;0;10;0;0;2;22;23;30;25;0;0;0;0;0;0;0;0;10;0; ; ;110;110;24;46;20921;40150;5490
02;0205;020550;1;5;1;1;5;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;2;0;0;0;0;0;0;0;0;0;0; ; ;15;9;0;0;1967;3285;762
02;0202;020250;1;5;1;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;3;0;4;3;3;4;0;0;0;0;0;0;0;0;0;0; ; ;15;14;2;4;3062;5110;1182
02;0201;020150;1;5;6;1;4;5;2;1;1;0;0;1;0;0;0;1;0;0;5;0;4;5;2;1;1;0;0;1;0;0;0;1;0;0; ; ;15;15;7;6;5860;6954;1487
03;0304;030450;1;5;1;1;7;7;12;6;0;0;0;0;0;0;0;0;0;0;0;0;7;7;12;6;0;0;0;0;0;0;0;0;0;0; ; ;32;32;12;15;8499;11680;3222
03;0301;030150;2;1;1;1;42;24;36;23;0;0;0;9;0;0;0;0;12;0;11;4;42;24;36;23;0;0;0;9;0;0;0;0;12;0; ; ;146;146;59;119;30743;53290;9160
03;0303;030350;1;5;1;1;18;7;9;16;0;0;0;0;0;0;0;0;0;0;0;0;16;7;9;15;0;0;0;0;0;0;0;0;0;0; ; ;50;47;8;11;8370;17155;2936
04;0401;040150;2;1;1;1;25;25;56;40;0;0;0;0;0;0;0;0;16;0;21;4;25;25;56;40;0;0;0;0;0;0;0;0;16;0; ; ;162;162;36;72;29091;59130;6885
