"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Guayas","Guayaquil","90150","12","3","18","2","2","2","3","0","1","0","0","1","0","0","0","1","0","0","2","0","2","2","3","0","1","0","0","1","0","0","0","1","0","0"," "," ","10","10","0","3","318","3660","171"
"Azuay","Gualaceo","10350","1","5","1","1","9","6","5","5","0","0","0","0","0","0","0","0","0","0","0","0","9","6","5","5","0","0","0","0","0","0","0","0","0","0"," "," ","25","25","17","12","5911","9125","2405"
"Azuay","Paute","10550","1","5","1","1","10","8","8","4","0","0","0","0","0","0","0","0","0","0","0","0","10","7","5","6","0","0","0","0","0","0","0","0","0","0"," "," ","30","28","9","8","6172","10220","2637"
"Azuay","Santa Isabel","10850","1","5","1","1","6","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","6","3","3","3","0","0","0","0","0","0","0","0","0","0"," "," ","15","15","3","8","3439","5475","1243"
"Azuay","Sigsig","10950","1","5","1","1","8","2","3","5","0","0","0","0","0","0","0","0","0","0","0","0","8","2","3","5","0","0","0","0","0","0","0","0","0","0"," "," ","18","18","5","6","4401","6570","1346"
"Azuay","Cuenca","10107","2","1","1","1","61","65","51","70","0","0","0","0","0","0","0","0","25","0","12","7","48","58","44","55","0","0","0","0","0","0","0","0","25","0"," "," ","272","230","88","337","71459","83950","16008"
"Azuay","Cuenca","10150","7","2","1","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"," "," ","5","5","0","0","191","1825","162"
"Azuay","Giron","10250","1","5","1","1","6","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","6","3","3","3","0","0","0","0","0","0","0","0","0","0"," "," ","15","15","6","11","3885","5475","1403"
"Azuay","Cuenca","10150","2","1","6","1","14","70","24","16","22","5","0","15","11","7","11","11","65","0","2","0","14","70","24","16","22","5","0","15","7","7","11","11","65","0"," "," ","271","267","152","442","86388","98002","19149"
"Azuay","Cuenca","10150","2","1","3","1","14","7","3","6","0","0","0","6","0","0","0","0","0","0","0","0","13","7","3","6","0","0","0","6","0","0","0","0","0","0"," "," ","36","35","2","3","1903","12749","571"
